Repas de base,Alternative n°,Proposition
Petit-déjeuner protéiné aux œufs,1,Omelette aux légumes et pain complet
Petit-déjeuner protéiné aux œufs,2,Œufs brouillés avec flocons d’avoine salés
Petit-déjeuner protéiné aux œufs,3,Wrap de petit déjeuner aux œufs et avocat
Bowl d'avoine aux fruits,1,Porridge au lait végétal et fruits rouges
Bowl d'avoine aux fruits,2,Granola maison avec yaourt nature
Bowl d'avoine aux fruits,3,Overnight oats à la pomme et cannelle
Smoothie protéiné,1,Smoothie banane-chocolat protéiné
Smoothie protéiné,2,Milkshake protéiné vanille-avoine
Smoothie protéiné,3,Smoothie aux fruits rouges et graines de chia
Tartines au fromage blanc,1,Pain complet + fromage blanc + compote sans sucre
Tartines au fromage blanc,2,Pain intégral + ricotta + fruits rouges
Tartines au fromage blanc,3,Galettes de riz + skyr + miel
Poulet grillé aux légumes,1,Poulet curry et riz complet
Poulet grillé aux légumes,2,Wok de poulet aux légumes
Poulet grillé aux légumes,3,Poulet au four avec patates douces
Saumon quinoa,1,Saumon grillé et légumes vapeur
Saumon quinoa,2,Filet de saumon avec boulgour
Saumon quinoa,3,Saumon à l’aneth et patate douce
Bowl végétarien,1,Tofu mariné et riz sauvage
Bowl végétarien,2,Falafels et légumes rôtis
Bowl végétarien,3,Curry de lentilles et riz basmati
Bœuf aux patates douces,1,Steak haché 5% + riz + haricots verts
Bœuf aux patates douces,2,Bœuf sauté aux légumes et nouilles
Bœuf aux patates douces,3,Boulettes de bœuf + semoule + courgettes
Poisson blanc aux légumes,1,Filet de merlan + riz + épinards
Poisson blanc aux légumes,2,Colin et purée de patate douce
Poisson blanc aux légumes,3,Cabillaud vapeur et légumes grillés
Dinde aux légumes verts,1,Filet de dinde grillé et pommes vapeur
Dinde aux légumes verts,2,Brochettes de dinde et légumes
Dinde aux légumes verts,3,Dinde au four + courgettes + riz
Thon aux haricots,1,Salade de thon aux pois chiches
Thon aux haricots,2,Wrap de thon et légumes
Thon aux haricots,3,Thon grillé et semoule
Collation protéinée du soir,1,Fromage blanc + noix + baies
Collation protéinée du soir,2,Skyr + fruits rouges
Collation protéinée du soir,3,Œuf dur + carottes
Yaourt aux fruits secs,1,Yaourt nature + amandes + miel
Yaourt aux fruits secs,2,Skyr + figues sèches + noix
Yaourt aux fruits secs,3,Fromage blanc + fruits secs
Fruits et noix,1,Pomme + amandes
Fruits et noix,2,Poire + noix de cajou
Fruits et noix,3,Banane + noisettes
Yaourt protéiné,1,Skyr + banane + cannelle
Yaourt protéiné,2,Yaourt grec + flocons d’avoine
Yaourt protéiné,3,Fromage blanc + compote sans sucre
Barre protéinée maison,1,Barre protéinée chocolat-noisette
Barre protéinée maison,2,Barre aux dattes et protéines
Barre protéinée maison,3,Energy balls aux flocons et whey
Smoothie léger,1,Smoothie fraise-banane
Smoothie léger,2,Smoothie mangue-lait d’amande
Smoothie léger,3,Smoothie vert (épinards-banane)
Fromage blanc aux fruits,1,Fromage blanc + fruits rouges
Fromage blanc aux fruits,2,Skyr + pomme râpée
Fromage blanc aux fruits,3,Yaourt nature + compote
Tartine légère,1,Pain de seigle + purée d’amande
Tartine légère,2,Pain complet + miel + noix
Tartine légère,3,Tartine fromage frais et concombre
